Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk,Disease,Portion_Size_g,Meal_ID,Day_Type,Log_Index,Confidence_Level
Bubble Tea (16 oz milk tea),Beverage,320,2.062199517,68.28326131,4.041730711,1.002527274,60.74946038,103.8838366,10.25361153,Snack,473,,Unhealthy,Diabetes,150,7,Weekend,7267,Medium
Macaroni Salad (1 cup),Meal/Pasta,380,7.729442594,28.64056672,24.39084863,2.99389633,6.009944423,736.5119775,19.2225864,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",200,158,Weekend,5535,Low
Shrimp Scampi (1 cup),Meal/Seafood,380,23.0634788,41.15244915,15.38816727,2.854759217,2.891782089,727.5919328,146.7691377,Dinner,0,,Moderate,"Hypertension, Obesity",250,480,Weekday,6265,Medium
Tiramisu (1 slice),Dessert,450,6.959481169,43.27103169,26.60837811,1.913600825,24.53452125,148.7548659,187.5957734,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",100,110,Weekday,2326,Medium
Macaroni Salad (1 cup),Meal/Pasta,380,8.380497441,31.07432731,24.18850625,3.056816252,6.179655557,724.5066031,19.39733343,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,303,Weekend,4412,High
Dates (2 medium Medjool),Fruit,133,0.83093785,36.26426323,0.104108083,3.255014551,32.46466028,1.032073977,0.0,Snack,0,,Unhealthy,Diabetes,100,119,Weekend,4365,Medium
Caesar Salad (with chicken),Meal/Protein,470,29.84098872,14.89875537,30.9031244,2.906912155,3.093882996,869.9137498,74.27331332,Lunch,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,193,Weekday,6497,Medium
Limoncello (1.5 oz shot),Beverage,150,0.0,18.20270631,0.0,0.0,17.33438419,0.0,0.0,Snack,0,,Moderate,Diabetes,200,382,Weekday,5716,Medium
Beef Pho (1 large bowl),Meal/Soup,450,28.65347764,54.2236949,12.00323921,3.994527093,4.962354325,1498.560436,57.68576894,Dinner,500,,Unhealthy,Hypertension,200,467,Weekend,7138,Low
Sweet & Sour Chicken (1 cup),Meal/Processed,380,17.55461154,43.64044822,14.29787529,2.929877917,24.05398571,771.4265724,52.34843502,Dinner,0,,Moderate,"Diabetes, Hypertension",150,41,Weekend,3994,Medium
Pita Bread (White 1 large),Grain,220,7.068936986,45.87080961,2.089460166,2.017857339,2.016048831,447.3398584,0.0,Dinner,0,,Healthy,Hypertension,250,319,Weekend,9731,High
Chocolate Milk (1 cup),Beverage/Dairy,200,8.11446303,27.07166212,7.650514029,1.010998257,23.88369693,152.9968255,30.03870191,Snack,0,,Moderate,Diabetes,200,172,Weekday,8998,Medium
Saltimbocca (1 serving),Meal/Meat,380,39.89284889,4.944416264,20.92427007,0.50714216,0.967223336,890.0373499,115.2009751,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,342,Weekend,8394,Low
Sweet & Sour Chicken (1 cup),Meal/Processed,380,17.3027707,45.79151559,15.01641161,2.908360415,25.9531604,772.8860365,51.84787269,Dinner,0,,Unhealthy,"Diabetes, Hypertension, Obesity",180,254,Weekday,5505,Low
Soda (1 can Coke),Beverage,140,0.0,40.69324915,0.0,0.0,38.74618421,44.34944395,0.0,Snack,355,,Unhealthy,Diabetes,100,71,Weekday,1697,High
Potato Leek Soup (1 cup),Meal/Vegetable,180,4.107343347,24.31405008,7.263745655,2.888229523,4.160257926,627.2441231,15.42923336,Lunch,250,,Moderate,Hypertension,180,308,Weekend,7528,Medium
Philly Cheesesteak (6 inch),Meal/Processed,500,25.37101948,40.95571307,28.72942993,3.071507603,4.833773829,1076.696341,67.87245109,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",180,95,Weekend,4452,Medium
Garlic (1 clove in beans),Vegetable,4,0.201391116,0.897938978,0.0,0.099186756,0.0,1.012436096,0.0,Dinner,0,,Healthy,Healthy,180,94,Weekend,2027,High
Pulled Pork Sandwich,Meal/Meat,480,24.50379108,47.89631832,20.06114953,2.910641563,15.71042569,856.2329316,78.36890337,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",150,40,Weekend,6488,High
Guacamole (1/4 cup),Vegetable/Condiment,90,1.007277354,4.145178902,8.343619262,3.00823651,0.479890533,120.2705036,0.0,Dinner,0,,Healthy,Healthy,180,407,Weekday,6649,Low
Lomo Saltado (1.5 cups),Meal/Meat,500,33.3009313,45.01494836,21.95774839,5.203844822,6.287722462,1049.276334,91.34784431,Dinner,0,,Unhealthy,"Hypertension, Obesity, Heart Disease",100,304,Weekend,5155,Low
Gummy Bears (10 pcs),Snack/Dessert,100,1.922183114,20.95714139,0.0,0.0,14.80082236,9.756760572,0.0,Snack,0,,Healthy,Diabetes,150,291,Weekday,5237,High
Salt (1/4 tsp),Condiment,0,0.0,0.0,0.0,0.0,0.0,604.2607288,0.0,Dinner,0,,Moderate,Hypertension,180,482,Weekday,8989,Low
Pickled Cucumber (1/4 cup),Vegetable,10,0.502731763,1.912108551,0.0,1.003086097,1.044797001,313.7189269,0.0,Dinner,0,,Healthy,Healthy,100,405,Weekday,4015,Medium
Pesto Sauce (1/4 cup),Condiment,260,4.901699005,3.961144276,25.30667072,2.047469707,1.008305465,570.2636894,5.125412595,Dinner,0,,Moderate,"Hypertension, Heart Disease",180,136,Weekday,1597,High
Green Peas (1/2 cup),Legume,62,3.912110286,10.87916468,0.204384894,4.206415408,4.328875254,1.971631194,0.0,Dinner,0,,Healthy,Healthy,150,86,Weekend,6759,Medium
Kombucha (16 oz),Beverage,60,0.0,14.30410161,0.0,0.0,11.58003341,20.14677416,0.0,Snack,473,,Healthy,Diabetes,200,245,Weekend,4126,High
Quesadilla (Cheese 1 medium),Meal/Processed,400,17.96192343,34.99919796,21.66011879,3.019007199,1.9643643,717.8898684,48.88676529,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",200,486,Weekend,9311,Low
Raisins (1/4 cup),Fruit,130,1.293546416,33.66189346,0.196452206,1.66763287,26.19888051,5.015814208,0.0,Snack,0,,Unhealthy,Diabetes,200,169,Weekday,2605,Low
Tiramisu (1 slice),Dessert,450,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",150,394,Weekday,246,Low
Hummus (1/4 cup),Legume,130,5.157646381,9.557817323,7.696464891,4.107845145,1.012842726,239.2505356,0.0,Lunch,0,,Healthy,Healthy,250,471,Weekend,4853,High
Dates (2 medium Medjool),Fruit,133,0.790728894,35.97588617,0.100120055,3.28476282,31.3603732,0.964784001,0.0,Snack,0,,Unhealthy,Diabetes,150,419,Weekend,7261,Low
Muffin (Blueberry 1 large),Grain/Dessert,380,5.237572648,53.6790464,16.73839398,1.970466422,29.6575024,335.5510452,48.04670477,Breakfast,250,,Unhealthy,"Diabetes, Obesity",180,36,Weekend,7658,Low
Angel Hair Pasta (1 cup),Grain,200,6.835603889,42.4776066,0.963750532,2.018705333,0.958146817,0.958591274,0.0,Dinner,0,,Healthy,Healthy,250,399,Weekend,1398,High
Tabouli (1/2 cup),Meal/Vegetarian,120,3.066146498,14.94229832,5.752153877,3.831350141,2.080920162,308.3613885,0.0,Lunch,0,,Healthy,Healthy,100,240,Weekday,2315,Low
Pulled Pork Sandwich,Meal/Meat,480,25.80013782,47.77086184,19.79919296,2.970038059,14.6236575,881.4952311,77.33312444,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",100,49,Weekday,6342,Medium
Philly Cheesesteak (6 inch),Meal/Processed,500,26.06990746,40.29077153,28.38037694,2.904925692,5.117092676,1120.146681,67.12609493,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,231,Weekday,1079,Medium
Pesto Sauce (1/4 cup),Condiment,260,5.232271833,3.974720505,27.1410918,1.965487047,1.012547179,565.9850271,5.221303887,Dinner,0,,Moderate,"Hypertension, Heart Disease",200,234,Weekend,8563,Low
Macaroni & Cheese (1 cup),Meal/Pasta,350,9.971361117,41.29718505,17.02407088,1.996860718,4.976317186,774.1827525,41.78907464,Lunch,250,,Moderate,Hypertension,200,339,Weekday,1555,Low
Lemon Bar (1 square),Dessert,150,1.477582036,22.86485547,6.165895179,0.505114724,15.0099232,80.40860943,30.58640532,Snack,0,,Moderate,Diabetes,180,334,Weekend,4303,Medium
Tiramisu (1 slice),Dessert,450,6.780441913,40.88769651,28.30524832,1.968151854,24.97064204,151.2428819,182.9781954,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",200,320,Weekday,9446,Medium
Red Cabbage (1 cup raw),Vegetable,22,1.0883742,5.394484121,0.096112285,1.642906148,2.893788967,7.974650165,0.0,Dinner,0,,Healthy,Healthy,150,343,Weekday,9367,Low
Paella (1.5 cups seafood),Meal/Rice,550,29.71152603,66.91395566,17.5759262,5.886125761,4.984471961,1149.868806,114.2483905,Dinner,0,,Unhealthy,"Hypertension, Obesity",200,224,Weekend,1251,Medium
Vitello Tonnato (1 serving),Meal/Meat,380,34.836624,2.886620534,24.49032792,0.511930206,1.02889851,598.3455517,112.2666843,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,57,Weekday,6856,High
Cannellini Beans (1/2 cup in soup),Legume,105,6.803889564,19.73848459,0.490803413,5.762943701,1.02243231,238.5581716,0.0,Dinner,0,,Healthy,Healthy,180,348,Weekend,6022,Medium
Apple Pie (1 slice),Dessert,410,3.059747661,58.31041439,18.55742853,3.082884698,26.14448289,324.989852,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",150,338,Weekday,5717,Medium
Waffles (2 homemade),Grain,220,5.843048045,28.94755336,8.629286904,1.459124391,3.102544695,430.1076989,43.24950045,Breakfast,0,,Healthy,Hypertension,100,305,Weekday,8523,High
Meatball Sub (6 inch),Meal/Processed,580,27.4171057,52.68827037,26.40381388,5.843340895,9.867848245,1198.499954,69.71569925,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",200,447,Weekday,3065,Low
Hollandaise Sauce (1 tbsp),Condiment,55,0.509233348,0.190005183,5.830512889,0.0,0.101090244,75.92048101,23.84650927,Dinner,0,,Healthy,Healthy,250,210,Weekday,4364,Low
Sweet Chili Sauce (2 tbsp),Condiment,70,0.0,17.5509439,0.0,0.521985748,16.76217817,468.9718148,0.0,Dinner,0,,Moderate,"Diabetes, Hypertension",250,118,Weekday,4123,Medium
Rye Bread (1 slice),Grain,83,2.7,15.5,1.1,1.9,1.2,170.0,0.0,Lunch,0,,Healthy,Healthy,180,214,Weekend,276,Medium
Cannoli (1 medium),Dessert,240,5.128903327,24.75608695,13.26460264,0.990425873,18.53670116,97.88955694,30.23414452,Snack,0,,Moderate,Diabetes,100,479,Weekend,6029,Medium
Cheesy Grits (1 cup),Meal/Grain,210,6.170846714,32.64255133,5.723628126,1.928705254,0.987697518,549.392225,20.4222961,Breakfast,0,,Healthy,Hypertension,100,390,Weekday,2915,High
Fiorentina Steak (3oz portion),Protein/Meat,230,24.51179627,0.0,15.55990069,0.0,0.0,61.04055032,73.38279092,Dinner,0,,Moderate,Healthy,180,42,Weekday,3634,Medium
Ham & Cheese Croissant,Meal/Processed,400,15.41753184,35.62441106,22.09374663,2.079038644,6.235791724,764.3632794,61.66617214,Breakfast,250,,Moderate,"Hypertension, Obesity, Heart Disease",150,146,Weekday,5605,Low
Tiramisu (1 slice),Dessert,450,6.959481169,43.27103169,26.60837811,1.913600825,24.53452125,148.7548659,187.5957734,Snack,250,,Moderate,"Diabetes, Obesity, Heart Disease",100,110,Weekday,2326,Medium
Apple Pie (1 slice),Dessert,410,3.062300841,60.38757102,18.07800656,2.929309101,24.78242572,311.098922,0.0,Snack,0,,Moderate,"Diabetes, Obesity",250,99,Weekend,7888,High
Tofu Stir-fry,Meal/Vegetarian,400,18.77291064,30.60690767,21.02313465,6.829186861,9.073699909,486.6072492,0.0,Dinner,250,,Moderate,"Hypertension, Obesity, Heart Disease",100,295,Weekday,9979,Low
Club Sandwich,Meal/Processed,580,34.84654158,40.36123468,28.55269181,5.084681507,6.673582431,1342.3162,93.84084322,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",180,88,Weekday,3737,Medium
Biscuits and Gravy (1 serving),Meal/Processed,480,10.49301533,43.30328171,28.92639324,2.067295646,3.073463074,1123.940589,36.67103144,Breakfast,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",250,494,Weekend,4255,Medium
Chicken Salad Sandwich,Meal/Processed,420,20.0,35.0,20.0,3.0,5.0,850.0,60.0,Lunch,250,,Moderate,"Hypertension, Obesity",100,371,Weekend,321,Medium
Tuna Melt,Meal/Processed,450,25.90611654,33.20119498,26.17632386,3.057553004,4.096754232,896.9999305,49.56565792,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",150,276,Weekend,8270,High
Pretzels (1 oz),Grain/Processed,110,2.929825497,23.84124361,1.006681282,1.001260612,1.00863976,451.0513705,0.0,Snack,0,,Healthy,Hypertension,250,438,Weekend,7666,High
Pine Nuts (1 tbsp in pesto),Nut,95,1.986436449,1.976336634,10.00567778,0.497702822,0.519817003,0.0,0.0,Dinner,0,,Healthy,Healthy,200,289,Weekend,4100,Low
Chicken Alfredo (1.5 cups),Meal/Pasta,680,34.76391017,44.69148393,39.46787314,3.963522384,4.855082846,1026.072507,119.1718867,Dinner,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",250,461,Weekend,1268,Medium
Macaroni Salad (1 cup),Meal/Pasta,380,8.366479349,30.49112748,25.00232611,3.094125377,6.226705047,725.8973247,20.43181122,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,464,Weekday,4680,High
Tomato Soup (1 can),Meal/Vegetable,170,3.922518767,24.22662326,5.806003912,3.907105752,14.69594884,902.525222,9.73252673,Lunch,0,,Moderate,"Diabetes, Hypertension",150,42,Weekend,8130,High
Biryani (Chicken 1.5 cups),Meal/Meat,520,26.67858461,57.96473339,17.91300829,4.790405305,6.082714911,930.0698988,72.24212701,Dinner,0,,Moderate,"Hypertension, Obesity",180,324,Weekday,4771,Low
Turkey Sausage (1 patty),Protein/Meat,70,8.800330443,0.964863171,3.863682888,0.0,0.484652906,266.812583,36.73100441,Breakfast,0,,Healthy,Healthy,100,316,Weekend,6396,Medium
Olive Oil (1 tbsp dressing),Condiment,120,0.0,0.0,14.58251258,0.0,0.0,0.0,0.0,Lunch,0,,Healthy,Healthy,250,107,Weekday,5960,Low
Macadamia Nuts (1 oz),Nut,204,2.303345338,3.884730115,21.46371049,2.283883795,1.248992758,0.963544627,0.0,Snack,0,,Moderate,Heart Disease,250,92,Weekend,5303,High
Pulled Pork Sandwich,Meal/Meat,480,25.0,48.0,20.0,3.0,15.0,900.0,75.0,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",100,310,Weekend,209,Medium
Saltimbocca (1 serving),Meal/Meat,380,36.76304021,5.168047488,21.57815062,0.488777768,1.037863884,885.6959345,114.572598,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,39,Weekend,6515,Medium
Shrimp (3oz steamed),Protein/Fish,84,20.07038024,0.19479195,0.200626566,0.0,0.0,103.7660558,159.911635,Dinner,250,,Healthy,Healthy,250,352,Weekday,6507,Medium
Quesadilla (Cheese 1 medium),Meal/Processed,400,18.33343771,35.74597264,22.39816084,2.900305409,1.97459738,687.7167333,48.14559032,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",200,89,Weekend,6956,High
Tuna Melt,Meal/Processed,450,24.75245962,32.05528711,24.07400607,3.142615274,4.150970965,933.622648,51.80614319,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",250,268,Weekday,5645,High
Tomato Soup (1 can),Meal/Vegetable,170,3.889898532,25.25176169,6.134702114,3.919724949,15.5223055,878.328253,9.578756746,Lunch,0,,Moderate,"Diabetes, Hypertension",250,140,Weekend,2866,High
Potato Chips (1 oz),Snack/Processed,160,1.910899299,15.48611364,10.00861073,0.993859974,0.494986379,176.6015075,0.0,Snack,0,,Healthy,Healthy,180,125,Weekday,913,Medium
Ricotta Cheese (1/4 cup),Dairy,85,5.62154186,2.533095502,5.849892409,0.0,0.990901168,50.53846716,24.43135844,Dinner,0,,Healthy,Healthy,180,12,Weekday,2512,Medium
Refried Beans (1/2 cup),Legume,115,6.917741535,19.17188143,0.995467082,5.787682004,0.965864009,458.7978821,0.0,Dinner,0,,Healthy,Hypertension,250,23,Weekend,9045,Low
Vitello Tonnato (1 serving),Meal/Meat,380,36.03750029,3.03054342,23.87710014,0.507706505,1.022438976,604.0837408,108.7577293,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,173,Weekday,7222,Medium
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.447546646,17.41379647,7.593419185,0.484031968,16.78044077,55.08288897,31.38844712,Snack,0,,Moderate,Diabetes,150,397,Weekend,8201,Medium
Pulled Pork Sandwich,Meal/Meat,480,25.11452407,46.77934837,20.392757,3.009309412,15.69034041,858.8282372,75.73785865,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity, Heart Disease",180,175,Weekday,3026,Medium
Prosecco (3 oz),Beverage,70,0.0,1.949290783,0.0,0.0,1.494844267,4.78325858,0.0,Snack,0,,Healthy,Healthy,200,305,Weekend,4008,Medium
Cocktail Sauce (2 tbsp),Condiment,30,0.476781605,7.064482658,0.0,0.52295956,4.836879898,466.0698036,0.0,Snack,0,,Healthy,Hypertension,180,467,Weekend,2275,Medium
Chicken Liver (2 oz cooked),Protein/Meat,91,13.05981658,0.595374146,3.617966094,0.0,0.0,51.63614761,328.7106097,Dinner,0,,Healthy,Heart Disease,180,400,Weekend,2681,High
Caesar Salad (with chicken),Meal/Protein,470,30.58763887,15.3758616,29.16820334,2.996429098,2.888387578,909.2434263,78.32288871,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",150,19,Weekend,8460,Low
Philly Cheesesteak (6 inch),Meal/Processed,500,25.51491573,40.07856808,28.89151122,3.037838741,4.859175382,1125.088371,68.89818848,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",150,491,Weekend,3895,Medium
Pesto Sauce (1/4 cup),Condiment,260,5.129331081,3.840170921,26.56367389,1.974866342,1.001747877,542.7640677,5.236768086,Dinner,0,,Moderate,"Hypertension, Heart Disease",150,150,Weekend,3344,Low
Cottage Cheese (1 cup low fat),Dairy,160,26.6964045,6.210630655,2.571525766,0.0,4.02572512,792.7529846,9.559172561,Lunch,250,,Moderate,Hypertension,200,303,Weekday,6027,High
Tilapia (4oz baked),Protein/Fish,110,21.42560342,0.0,2.510187997,0.0,0.0,49.99277324,48.58270189,Dinner,0,,Healthy,Healthy,200,195,Weekend,7774,High
Pulled Pork Sandwich,Meal/Meat,480,25.34408296,46.1831907,19.02557948,3.027211016,15.19360669,858.1508877,72.30390144,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",180,236,Weekday,6767,High
Grilled Cheese Sandwich,Meal/Processed,390,15.39768611,32.60810504,22.75214868,3.002700794,3.851380692,767.8916556,61.68119138,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",150,166,Weekend,2785,Low
Grilled Cheese Sandwich,Meal/Processed,390,14.30293643,32.41801541,21.1308437,2.868807236,4.055919152,804.2619937,59.14997766,Lunch,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,477,Weekend,2856,Low
Burger (cheeseburger),Meal/Processed,550,30.51160745,39.96141114,28.92075815,2.979304051,7.100983991,1097.477904,86.59251327,Dinner,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",150,77,Weekend,8588,Medium
Soy Sauce (1 tbsp for dipping),Condiment,9,1.048081273,0.997801971,0.0,0.097860309,0.419552751,882.3746781,0.0,Lunch,0,,Moderate,Hypertension,150,245,Weekend,4769,Medium
Lime (juice of 1),Condiment,11,0.204971572,3.730327292,0.0,0.4030353,0.695970589,1.034182604,0.0,Dinner,0,,Healthy,Healthy,250,245,Weekday,3715,Medium
Smoothie (Fruit & Yogurt),Beverage/Meal,280,11.84392248,53.27174008,3.009015103,6.689993137,38.20437983,69.07517481,5.169601328,Breakfast,250,,Unhealthy,Diabetes,150,46,Weekend,5808,Low
Chicken Milanesa (1 serving),Meal/Meat,450,33.44329689,30.92614398,22.30979738,3.126982511,1.949183412,701.9109113,95.8634274,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",200,92,Weekend,7496,Medium
Salt (1/4 tsp),Condiment,0,0.0,0.0,0.0,0.0,0.0,597.4320087,0.0,Dinner,0,,Healthy,Hypertension,180,483,Weekend,1990,Medium
Lime Wedge (garnish),Condiment,3,0.097428752,1.039136961,0.0,0.31276398,0.190350764,0.0,0.0,Dinner,0,,Healthy,Healthy,150,347,Weekday,1532,Medium
Clam Chowder (1 cup),Meal/Seafood,200,9.546505191,18.54851042,9.331253952,1.039224633,2.050212576,840.2377068,29.5370567,Lunch,0,,Moderate,Hypertension,180,127,Weekend,6908,Low
Empanada (Beef 1 medium),Meal/Processed,290,10.172305,27.9908636,15.41189706,3.041660793,2.886475771,534.5328733,29.80151954,Lunch,0,,Moderate,Hypertension,250,401,Weekday,7757,Medium
Veggie Burger (1 patty),Protein/Vegetarian,120,11.22598228,10.3005438,4.174020833,5.136314998,1.031457564,351.5217054,0.0,Lunch,250,,Healthy,Healthy,180,102,Weekday,5021,Low
Pesto Sauce (1/4 cup),Condiment,260,4.948181049,4.074863438,26.52868176,2.011478932,0.964480607,533.4715472,5.013255897,Dinner,0,,Moderate,"Hypertension, Heart Disease",150,181,Weekend,2067,Low
Chicken Milanesa (1 serving),Meal/Meat,450,35.69279861,29.99234491,22.00672335,3.105530494,1.977656873,733.9420287,97.05608821,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",100,372,Weekday,9721,Medium
Tuna Melt,Meal/Processed,450,25.81305261,33.35828025,25.55846974,3.040176919,4.010710033,919.2233516,48.55430746,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",180,312,Weekend,7998,Medium
Apple Pie (1 slice),Dessert,410,3.147661492,58.24700273,18.35750044,2.977072066,24.88218028,311.741809,0.0,Snack,0,,Moderate,"Diabetes, Obesity",150,500,Weekend,8809,Medium
Turkey Burger (1 patty),Protein/Meat,160,22.04434771,2.075034417,7.986205201,0.0,1.027201595,384.4220327,68.22609294,Lunch,250,,Healthy,Healthy,180,229,Weekday,3846,Medium
Apple Pie (1 slice),Dessert,410,3.062300841,60.38757102,18.07800656,2.929309101,24.78242572,311.098922,0.0,Snack,0,,Moderate,"Diabetes, Obesity",250,99,Weekend,7888,High
Apple Pie (1 slice),Dessert,410,3.095289244,55.4700066,19.35809796,2.998686706,25.43274344,315.1468725,0.0,Snack,0,,Unhealthy,"Diabetes, Obesity",200,70,Weekend,5026,Low
Ham & Cheese Croissant,Meal/Processed,400,15.0,35.0,22.0,2.0,6.0,750.0,60.0,Breakfast,250,,Moderate,"Hypertension, Obesity, Heart Disease",180,447,Weekday,298,Medium
Tuna Melt,Meal/Processed,450,25.7607554,31.91564681,24.55878765,2.999083385,3.912675874,902.3230367,48.48697712,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",180,492,Weekday,4133,Medium
Paella (1.5 cups seafood),Meal/Rice,550,29.71152603,66.91395566,17.5759262,5.886125761,4.984471961,1149.868806,114.2483905,Dinner,0,,Unhealthy,"Hypertension, Obesity",200,224,Weekend,1251,Medium
Quesadilla (Cheese 1 medium),Meal/Processed,400,18.0,35.0,22.0,3.0,2.0,700.0,50.0,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",200,474,Weekday,378,Medium
Quesadilla (Cheese 1 medium),Meal/Processed,400,17.72521205,36.21487134,22.23997279,3.129952143,1.962406771,684.4404873,49.5201655,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",250,230,Weekend,3556,Low
Pulled Pork Sandwich,Meal/Meat,480,23.86172656,45.94385503,19.60341379,2.853246576,14.82186522,915.387189,72.43928234,Lunch,250,,Moderate,"Diabetes, Hypertension, Obesity",250,158,Weekday,3891,High
Quesadilla (Cheese 1 medium),Meal/Processed,400,17.72521205,36.21487134,22.23997279,3.129952143,1.962406771,684.4404873,49.5201655,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",250,230,Weekend,3556,Low
Maple Syrup (2 tbsp),Condiment,104,0.0,26.90341858,0.0,0.0,23.87915568,1.906322192,0.0,Breakfast,0,,Moderate,Diabetes,200,18,Weekday,4322,Low
Soy Sauce (1 tbsp in stir-fry),Condiment,9,1.028520453,1.049277052,0.0,0.09829054,0.402336823,905.962654,0.0,Dinner,0,,Moderate,Hypertension,150,65,Weekend,6521,High
Danish (Cheese 1 medium),Dessert,340,6.916573315,36.19172372,17.94793698,1.966333582,15.95259669,309.1213784,56.48646282,Breakfast,250,,Moderate,Diabetes,180,59,Weekday,1710,Medium
Mashed Potatoes (1 cup),Vegetable,230,4.058248078,36.06927768,7.888487981,3.142419161,1.994738532,356.0027892,14.88430005,Dinner,0,,Healthy,Healthy,150,45,Weekend,4551,Medium
Osso Buco (1 serving),Meal/Meat,550,46.05662868,14.94054574,29.52043316,3.999228414,6.153213633,856.3009212,143.1079043,Dinner,0,,Moderate,"Hypertension, Obesity, Heart Disease",250,132,Weekday,4230,Medium
Risotto (Mushroom 1 cup),Meal/Grain,250,7.009461066,34.03727579,8.939173329,3.061925207,2.940922822,607.8930792,20.60431729,Dinner,0,,Moderate,Hypertension,100,72,Weekend,2578,High
Mango (1 cup slices),Fruit,99,1.420876086,25.34752826,0.61131107,2.692801769,22.10843904,1.907369228,0.0,Snack,0,,Moderate,Diabetes,100,423,Weekend,6336,Medium
Chickpeas (1/2 cup canned),Legume,135,7.040769195,21.64963582,1.926955551,6.072140787,3.145762799,237.5992162,0.0,Lunch,0,,Healthy,Healthy,150,20,Weekday,8683,Medium
Philly Cheesesteak (6 inch),Meal/Processed,500,25.34528831,41.94803572,28.99111276,3.110173481,5.120908926,1057.869633,68.28418224,Lunch,500,,Unhealthy,"Hypertension, Obesity, Heart Disease",180,29,Weekday,7527,High
Eggs Benedict (1 serving),Meal/Protein,600,25.83430785,30.42385883,38.09581629,2.925252492,3.814861116,1101.77921,466.0032235,Breakfast,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",100,301,Weekend,1083,Medium
Biscuits and Gravy (1 serving),Meal/Processed,480,10.27570419,44.25809834,27.67740354,2.052246311,2.95427106,1153.765644,36.13917701,Breakfast,250,,Unhealthy,"Hypertension, Obesity, Heart Disease",180,27,Weekday,4971,Medium
Jelly (1 tbsp grape),Condiment,50,0.0,12.45315753,0.0,0.098927732,12.20140129,5.031639169,0.0,Breakfast,0,,Healthy,Diabetes,180,350,Weekday,9390,High
Chicken McNuggets (6 pcs),Meal/Processed,270,14.55479747,16.28053296,15.864582,0.976203752,0.0,488.3749262,38.98196497,Lunch,0,,Moderate,Hypertension,100,184,Weekday,2902,High
Tuna Melt,Meal/Processed,450,25.66886943,33.51077884,25.00054367,3.028772731,4.037064814,944.3745459,52.03757558,Lunch,250,,Moderate,"Hypertension, Obesity, Heart Disease",100,225,Weekend,1950,Medium
Rosemary (garnish),Condiment,1,0.0,0.19685672,0.0,0.102185484,0.0,0.0,0.0,Dinner,0,,Healthy,Healthy,200,429,Weekend,9384,Medium
Lassi (Mango 1 cup),Beverage,180,4.770432522,31.22390943,4.097960526,1.040694377,28.23176276,58.03718222,14.3758246,Snack,240,,Unhealthy,Diabetes,150,428,Weekday,9073,Medium
